,Locality,Place_Name,District,Latitude,Longitude,Accuracy,Admin_Name_1,Admin_Name_2,Admin_Name_3
0,PUERTO MALDONADO,"""Puerto Maldonado""",TAMBOPATA,-12.5933,-69.1891,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
1,MONTE SALVADO,"""Monte Salvado""",TAMBOPATA,-11.9413,-70.1108,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
2,BOCA PARIAMANU,"""Boca Pariamanu""",TAMBOPATA,-12.4277,-69.2676,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
3,OTILIA,"""Otilia""",TAMBOPATA,-12.5295,-69.2133,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
4,EL PRADO,"""El Prado""",TAMBOPATA,-12.5426,-69.1943,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
5,ALTA CACHUELA,"""Alta Cachuela""",TAMBOPATA,-12.4884,-69.1824,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
6,CENTRO CACHUELA,"""Centro Cachuela""",TAMBOPATA,-12.5371,-69.1696,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
7,ROMPEOLAS,"""Rompeolas""",TAMBOPATA,-12.5748,-69.2001,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
8,LA PASTORA,"""La Pastora""",TAMBOPATA,-12.5774,-69.1907,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
9,LA PASTORA,"""Pastora Grande""",TAMBOPATA,-12.6036,-69.543,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
10,ALTA PASTORA,"""Alta Pastora""",TAMBOPATA,-12.5751,-69.2302,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
11,EL PILAR,"""El Pilar""",TAMBOPATA,-12.5692,-69.2707,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
12,PUERTO UNION,"""Puerto Union""",TAMBOPATA,-12.5674,-69.3196,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
13,PLAYA ALTA,"""Playa Alta""",TAMBOPATA,-12.5132,-69.3586,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
14,ALTO CHORRILLOS,"""Alto Chorrillos""",TAMBOPATA,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
15,TRES ISLAS,"""Tres Islas""",TAMBOPATA,-12.5477,-69.3714,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
16,TUPAC AMARU,"""Tupac Amaru""",TAMBOPATA,-12.594,-69.3269,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
17,CHORRILLOS,"""Chorrillos""",TAMBOPATA,-12.606,-69.2852,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
18,CHORRILLOS,"""Alto Chorrillos""",TAMBOPATA,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
19,CENTRO PASTORA,"""Centro Pastora""",TAMBOPATA,-12.6057,-69.2505,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
20,EL CASTAÑAL,"""El Casta\u00f1al""",TAMBOPATA,-12.6342,-69.2607,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
21,FITZCARRALD,"""Fitzcarrald""",TAMBOPATA,-12.6692,-69.3487,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
22,TENIENTE ACEVEDO,"""Teniente Acevedo""",TAMBOPATA,-12.6411,-69.3605,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
23,AGUAS NEGRAS,"""Aguas Negras""",TAMBOPATA,-12.6656,-69.4251,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
24,AGUAS NEGRAS,"""Aguas Negras""",TAMBOPATA,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
25,SAN BERNARDO,"""San Bernardo""",TAMBOPATA,-12.6874,-69.3991,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
26,MONTE SINAI (SINAI DE CHENTA),"""Monte Sinai (Sinai de Chenta)""",TAMBOPATA,-12.716,-69.3123,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
27,TRES ESTRELLAS,"""Tres Estrellas""",TAMBOPATA,-12.6722,-69.3152,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
28,CHONTA,"""Chonta""",TAMBOPATA,-12.6688,-69.2281,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
29,INFIERNO,"""Infierno""",TAMBOPATA,-12.7299,-69.2284,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
30,LA TORRE,"""La Torre""",TAMBOPATA,-12.8241,-69.3051,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
31,LA TORRE,"""Victor Raul Haya de la Torre""",TAMBOPATA,-12.7183,-69.4869,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
32,SACHAVACAYOC,"""Sachavacayoc""",TAMBOPATA,-12.8501,-69.3604,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
33,CONDENADO,"""Condenado""",TAMBOPATA,-12.8638,-69.4106,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
34,BALTIMORI,"""Baltimori""",TAMBOPATA,-12.8314,-69.4464,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
35,SAN JACINTO,"""San Jacinto""",TAMBOPATA,-12.5771,-69.3913,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
36,BAJO TAMBOPATA,"""Bajo Tambopata""",TAMBOPATA,-12.6516,-69.2202,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
37,BAJO TAMBOPATA,"""Bajo Madre de Dios Izquierda""",TAMBOPATA,-12.6183,-69.1441,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
38,BAJO TAMBOPATA,"""Bajo Alegria""",TAMBOPATA,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
39,BAJO TAMBOPATA,"""Bajo Piedras""",TAMBOPATA,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
40,BAJO TAMBOPATA,"""Bajo Madre de Dios""",TAMBOPATA,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
41,BAJO TAMBOPATA,"""Huacamayo Bajo""",TAMBOPATA,-12.7693,-69.8551,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
42,IZUYAMA,"""Izuyama""",TAMBOPATA,-12.6306,-69.1861,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
43,LOERO,"""Loero""",TAMBOPATA,-12.6635,-69.1584,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
44,LOERO,"""Alto Loero""",TAMBOPATA,-12.6683,-69.2134,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
45,ALTO LOERO,"""Alto Loero""",TAMBOPATA,-12.6683,-69.2134,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
46,BAJO MADRE DE DIOS IZQUIERDA,"""Bajo Madre de Dios Izquierda""",TAMBOPATA,-12.6183,-69.1441,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
47,JORGE CHAVEZ,"""Jorge Chavez""",TAMBOPATA,-12.6685,-69.1192,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
48,LAGO SANDOVAL,"""Lago Sandoval""",TAMBOPATA,-12.6119,-69.0462,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
49,ISLA ROLIN,"""Isla Rolin""",TAMBOPATA,-12.5492,-69.048,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
50,SAN FRANCISCO,"""San Francisco""",TAMBOPATA,-12.5055,-68.8667,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
51,SAN FRANCISCO,"""San Francisco de Asis""",TAMBOPATA,-12.344,-69.1628,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
52,PALMA REAL,"""Palma Real""",TAMBOPATA,-12.5109,-68.7772,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
53,PUERTO PARDO,"""Puerto Pardo""",TAMBOPATA,-12.5036,-68.6592,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
54,SONENE,"""Sonene""",TAMBOPATA,-12.5711,-68.7015,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
55,PUERTO NUEVO,"""Puerto Nuevo""",TAMBOPATA,-12.6334,-69.1623,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
56,SABALUYOC,"""Sabaluyoc""",TAMBOPATA,-12.2285,-69.369,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
57,NUEVO SOL NACIENTE,"""Nuevo Sol Naciente""",TAMBOPATA,-12.6334,-69.1623,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
58,PALMICHAL,"""Palmichal""",TAMBOPATA,-12.5225,-69.4159,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
59,TIPISCA,"""Tipisca""",TAMBOPATA,-12.18,-69.42,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
60,DIAMANTE,"""Diamante""",TAMBOPATA,-12.6256,-69.2116,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
61,PLAYA ALTA,"""Playa Alta""",TAMBOPATA,-12.5132,-69.3586,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
62,GAMITANA,"""Gamitana""",TAMBOPATA,-12.4267,-69.0946,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
63,MAZUKO,"""Puerto Mazuko""",INAMBARI,-13.091,-70.3911,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
64,MAZUKO,"""Mazuko""",INAMBARI,-13.1001,-70.3674,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
65,SARAYACU,"""Sarayacu""",INAMBARI,-12.7959,-70.0375,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
66,JAYAVE,"""Jayave""",INAMBARI,-12.7809,-69.9632,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
67,JAYAVE,"""Cabecera Jayave""",INAMBARI,-12.9319,-70.2799,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
68,ALTO LIBERTAD,"""Alto Libertad""",INAMBARI,-12.8989,-69.9454,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
69,NUEVA AREQUIPA,"""Nueva Arequipa""",INAMBARI,-12.8921,-69.9985,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
70,VIRGEN DE LA CANDELARIA,"""Virgen de la Candelaria""",INAMBARI,-12.896,-70.0555,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
71,PRIMAVERA BAJA,"""Primavera Baja""",INAMBARI,-12.9088,-70.1101,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
72,PRIMAVERA ALTA,"""Primavera Alta""",INAMBARI,-12.9129,-70.1497,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
73,SANTA RITA BAJA,"""Santa Rita Baja""",INAMBARI,-12.914,-70.1928,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
74,SANTA RITA ALTA,"""Santa Rita Alta""",INAMBARI,-12.9145,-70.2456,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
75,SANTA ROSA,"""Santa Rosa""",INAMBARI,-12.9258,-70.303,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
76,KOTSIMBA,"""Kotsimba""",INAMBARI,-13.0899,-70.2419,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
77,VILLA SANTIAGO (ARAZAIRE),"""Villa Santiago (Arazaire)""",INAMBARI,-13.0072,-70.3449,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
78,ALTO DOS DE MAYO,"""Alto Dos de Mayo""",INAMBARI,-13.079,-70.3261,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
79,DOS DE MAYO,"""Dos de Mayo""",INAMBARI,-13.0686,-70.3544,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
80,DOS DE MAYO,"""Alto Dos de Mayo""",INAMBARI,-13.079,-70.3261,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
81,PUERTO MAZUKO,"""Puerto Mazuko""",INAMBARI,-13.091,-70.3911,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
82,PALMERA,"""Palmera""",INAMBARI,-13.1157,-70.3817,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
83,PONAL,"""Ponal""",INAMBARI,-12.7954,-70.2096,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
84,PUERTO CARLOS,"""Puerto Carlos""",INAMBARI,-12.9086,-70.336,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
85,NUEVA ESPERANZA,"""Nueva Esperanza""",INAMBARI,-12.9078,-70.3114,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
86,PADRE HERMOGENES,"""Padre Hermogenes""",INAMBARI,-12.8773,-69.7175,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
87,LA DISTANCIA,"""La Distancia""",INAMBARI,-12.8819,-69.766,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
88,UNION PROGRESO,"""Union Progreso""",INAMBARI,-12.8758,-69.807,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
89,SOL NACIENTE,"""Sol Naciente""",INAMBARI,-12.9141,-69.9241,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
90,MALINOSQUI,"""Malinosqui""",INAMBARI,-13.014,-69.9938,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
91,MALINOSQUI,"""Manuani Malinosqui""",INAMBARI,-12.9856,-70.1129,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
92,AZUL,"""Azul""",INAMBARI,-13.0353,-69.9259,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
93,QUEBRADA SECA,"""Quebrada Seca""",INAMBARI,-13.0987,-70.345,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
94,TAZON,"""Tazon""",INAMBARI,-13.1169,-70.3837,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
95,EL PROGRESO,"""El Progreso""",INAMBARI,-12.8696,-69.8465,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
96,ARAZAIRE,"""Arazaire""",INAMBARI,-13.0013,-70.3424,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
97,ARAZAIRE,"""Villa Santiago (Arazaire)""",INAMBARI,-13.0072,-70.3449,3,"""Madre De Dios""","""Tambopata""","""Inambari"""
98,ALTO HUACAMAYO,"""Alto Huacamayo""",INAMBARI,-12.8084,-69.9373,4,"""Madre De Dios""","""Tambopata""","""Inambari"""
99,LAS PIEDRAS (PLANCHON),"""Las Piedras (Planchon)""",LAS PIEDRAS,-12.28,-69.1524,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
100,MIRAFLORES,"""Miraflores""",LAS PIEDRAS,-11.9071,-69.3345,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
101,COLPAC,"""Colpac""",LAS PIEDRAS,-11.8961,-69.2487,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
102,NUEVA VISTA,"""Nueva Vista""",LAS PIEDRAS,-11.9782,-69.2413,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
103,MAVILA,"""Mavila""",LAS PIEDRAS,-11.9341,-69.119,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
104,CAFETAL,"""Cafetal""",LAS PIEDRAS,-11.9716,-69.1349,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
105,SAN JUAN DE APOCENTO,"""San Juan de Apocento""",LAS PIEDRAS,-11.9177,-68.9768,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
106,NUEVO SAN JUAN,"""Nuevo San Juan""",LAS PIEDRAS,-11.9974,-69.0102,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
107,SANTA JULIA,"""Santa Julia""",LAS PIEDRAS,-12.0364,-68.9442,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
108,BAJO ALEGRIA,"""Bajo Alegria""",LAS PIEDRAS,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
109,PIÑAL,"""Pi\u00f1al""",LAS PIEDRAS,-12.0117,-69.0651,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
110,FRAY MARTIN DE PORRAS,"""Fray Martin de Porras""",LAS PIEDRAS,-12.0236,-69.135,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
111,SANTA ROSA,"""Santa Rosa""",LAS PIEDRAS,-12.0126,-69.1345,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
112,LORETO,"""Loreto""",LAS PIEDRAS,-12.0657,-69.4863,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
113,LUCERNA,"""Lucerna""",LAS PIEDRAS,-12.0976,-69.4699,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
114,SAN CARLOS,"""San Carlos""",LAS PIEDRAS,-12.0861,-69.2934,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
115,VARSOVIA,"""Varsovia""",LAS PIEDRAS,-12.1288,-69.295,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
116,ALEGRIA,"""Bajo Alegria""",LAS PIEDRAS,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
117,ALEGRIA,"""Alegria""",LAS PIEDRAS,-12.1195,-69.1187,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
118,VIRGEN DEL CARMEN,"""Virgen del Carmen""",LAS PIEDRAS,-12.1099,-69.0234,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
119,TRIUNFO (EL TRIUNFO),"""Rimac o Parque el Triunfo""",LAS PIEDRAS,-12.5881,-69.1668,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
120,MONTERREY,"""Monterrey""",LAS PIEDRAS,-12.2076,-69.1286,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
121,1 DE MAYO,"""1 de Mayo""",LAS PIEDRAS,-12.2468,-69.1469,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
122,COLPAYOC,"""Colpayoc""",LAS PIEDRAS,-12.3438,-69.2359,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
123,CENTRO PIEDRAS,"""Centro de Piedras""",LAS PIEDRAS,-12.327,-69.1988,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
124,CENTRO PIEDRAS,"""San Jose de Centro Piedras""",LAS PIEDRAS,-12.4178,-69.2531,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
125,SAN FRANCISCO DE ASIS,"""San Francisco de Asis""",LAS PIEDRAS,-12.344,-69.1628,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
126,SUDADERO,"""Sudadero""",LAS PIEDRAS,-12.3808,-69.1439,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
127,NUEVA ALIANZA,"""Nueva Alianza""",LAS PIEDRAS,-12.4178,-69.1176,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
128,GAMITANA,"""Gamitana""",LAS PIEDRAS,-12.4267,-69.0946,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
129,LAGO VALENCIA,"""Lago Valencia""",LAS PIEDRAS,-12.4087,-68.7597,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
130,SAN JOSE DE CENTRO PIEDRAS,"""San Jose de Centro Piedras""",LAS PIEDRAS,-12.4178,-69.2531,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
131,LOBOYOC,"""Alto Loboyoc""",LAS PIEDRAS,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
132,LOBOYOC,"""Loboyoc""",LAS PIEDRAS,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
133,ALTO LOBOYOC,"""Alto Loboyoc""",LAS PIEDRAS,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
134,BAJO PIEDRAS,"""Bajo Alegria""",LAS PIEDRAS,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
135,BAJO PIEDRAS,"""Bajo Piedras""",LAS PIEDRAS,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
136,BAJO PIEDRAS,"""Bajo Madre de Dios""",LAS PIEDRAS,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
137,PUERTO ARTURO,"""Puerto Arturo""",LAS PIEDRAS,-12.4894,-69.2082,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
138,CACHUELA OVIEDO,"""Cachuela Oviedo""",LAS PIEDRAS,-12.5044,-69.1597,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
139,CACHUELA MARGEN IZQUIERDA,"""Cachuela Margen Izquierda""",LAS PIEDRAS,-12.5107,-69.1617,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
140,SANTA TERESA,"""Santa Teresa""",LAS PIEDRAS,-12.2296,-69.0629,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
141,BELLO HORIZONTE,"""Bello Horizonte""",LAS PIEDRAS,-12.4978,-69.1452,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
142,MICAELA BASTIDAS,"""Micaela Bastidas""",LAS PIEDRAS,-12.0035,-69.5397,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
143,MADAMA,"""Madama""",LAS PIEDRAS,-12.5333,-69.0816,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
144,BAJO MADRE DE DIOS,"""Bajo Madre de Dios""",LAS PIEDRAS,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
145,BAJO MADRE DE DIOS,"""Bajo Alegria""",LAS PIEDRAS,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
146,BAJO MADRE DE DIOS,"""Bajo Piedras""",LAS PIEDRAS,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
147,CARMEN ROSA,"""Carmen Rosa""",LAS PIEDRAS,-12.12,-69.193,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
148,PAMPA HERMOSA,"""Pampa Hermosa""",LAS PIEDRAS,-12.1858,-69.1172,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
149,LOS ANGELES,"""Los Angeles""",LAS PIEDRAS,-12.3637,-69.0958,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
150,SAN ISIDRO,"""San Isidro""",LAS PIEDRAS,-12.5268,-69.1312,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
151,BOTIJON,"""Botijon""",LAS PIEDRAS,-12.274,-69.0941,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
152,FILADELFIA,"""Filadelfia""",LAS PIEDRAS,-12.0648,-69.3328,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
153,AGUAS NEGRAS,"""Aguas Negras""",LAS PIEDRAS,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
154,AGUAJALITO,"""Aguajalito""",LAS PIEDRAS,-12.5316,-69.0819,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
155,LA FLORIDA,"""La Florida""",LAS PIEDRAS,-11.9428,-69.1247,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
156,TORMENTA,"""Tormenta""",LAS PIEDRAS,-12.517,-69.1068,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
157,RAMON GONZALES,"""Ramon Gonzales""",LAS PIEDRAS,-12.5964,-69.1402,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
158,PUERTO ROSARIO DE LABERINTO,"""Puerto Rosario de Laberinto""",LABERINTO,-12.7171,-69.5868,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
