"","MuniCode","MPIO_NAREA","centroid_coords.X","centroid_coords.Y"
"1","18001", 2547.63753,-8411104.220,  194747.036
"2","18029",  414.12207,-8447181.979,  136696.075
"3","18094", 1191.61857,-8446438.373,  167102.339
"4","18247", 1106.07615,-8370553.120,  199454.611
"5","18256", 1234.73414,-8375016.680,  180116.447
"6","18410", 1701.06143,-8375203.950,  145048.729
"7","18460", 1220.57600,-8392003.466,  127658.446
"8","18479",  462.47959,-8423970.293,  153969.857
"9","18610", 1304.76901,-8472527.007,  145252.224
"10","18860", 1330.21002,-8418764.652,  118149.825
"11","18150",12785.61879,-8267963.713,   72107.274
"12","18753",17464.63437,-8266929.546,  174578.920
"13","18756",42312.78361,-8140112.467,   23521.975
"14","18785",  476.93147,-8420028.258,  101223.321
"15","18205",  403.35825,-8454914.154,  117968.152
"16","18592", 4146.39716,-8357099.093,  224803.280
"17","19022",  236.71483,-8553226.977,  212931.569
"18","19100",  797.82026,-8567523.870,  206418.013
"19","19290",   56.65264,-8581325.332,  188662.284
"20","19392",  208.35442,-8547364.423,  243567.692
"21","19397",  516.07488,-8544751.329,  228692.116
"22","19450",  697.98139,-8591705.459,  199720.780
"23","19533", 1104.75170,-8494286.106,  128286.209
"24","19585",  848.32331,-8501598.108,  254073.882
"25","19693",  419.03490,-8540044.252,  206674.607
"26","19701", 3619.37103,-8520256.345,  169229.993
"27","19760",  515.94419,-8528349.360,  248509.174
"28","19785",  135.87330,-8561575.331,  229115.510
"29","86001", 1304.63788,-8536464.381,  136775.850
"30","86219",   64.27462,-8567897.140,  136178.396
"31","86320", 1939.39046,-8565271.143,   75004.337
"32","86749",   97.73462,-8561924.431,  136794.072
"33","86755",  407.35674,-8554598.593,  126475.356
"34","86757",  379.74213,-8555766.479,   34049.895
"35","86760",  341.92382,-8572227.458,  120879.543
"36","86865",  815.16156,-8558698.069,   45971.361
"37","86885", 1396.97213,-8543209.288,  101433.193
"38","86569",  926.46599,-8513825.318,   80716.841
"39","86568", 2819.15480,-8496816.315,   53279.609
"40","86571", 4576.59156,-8446949.132,   83095.542
"41","86573",10906.87681,-8356174.506,    6620.521
"42","52683",  101.61251,-8622440.507,  143403.386
"43","52685",   65.16451,-8573905.842,  170314.872
"44","52687",  249.14359,-8595949.371,  171691.156
"45","52560",  388.29956,-8618890.282,   80450.430
"46","52693",  111.85964,-8568848.957,  187219.168
"47","52694",   55.64728,-8582888.953,  171098.961
"48","52573",  350.14398,-8607473.479,   92011.034
"49","52585",  129.65980,-8642107.165,  102058.769
"50","52207",  119.35364,-8620652.532,  134602.723
"51","52210",   43.20905,-8630387.201,  103828.661
"52","52215",  304.63446,-8611712.655,   85807.984
"53","52001", 1099.41143,-8594543.996,  120634.376
"54","52019",   38.61009,-8579260.616,  163641.387
"55","52051",   60.18576,-8586055.627,  164776.906
"56","52083",   41.84541,-8576375.866,  177105.849
"57","52110",  635.96083,-8584554.723,  146422.294
"58","52203",   61.75053,-8576867.933,  182180.705
"59","52480",   25.31281,-8610995.458,  142596.545
"60","52506",   64.84321,-8633088.045,  114644.770
"61","52788",  217.95977,-8610633.303,  118459.597
"62","52240",  146.27176,-8601622.586,  154359.520
"63","52258",  306.90261,-8569961.027,  156913.105
"64","52885",  102.73516,-8618875.457,  125303.531
"65","52378",  238.84632,-8563068.446,  176372.250
"66","52381",  136.31292,-8614818.163,  148505.471
"67","52287",  394.76236,-8608161.678,  101774.708
"68","52399",  142.15238,-8587502.385,  180328.004
"69","52323",   29.96187,-8636457.625,  103380.566
"70","52352",   80.53154,-8629337.455,  109157.894
"71","52354",   81.72986,-8627428.487,  119439.126
"72","52356", 1571.75175,-8612828.994,   62186.100
"73","94001",15970.19859,-7620611.000,  369744.092
"74","94343", 9467.77209,-7725431.428,  369071.855
"75","94663", 4927.90546,-7822342.464,  312815.632
"76","94883", 2926.36512,-7496243.627,  240056.329
"77","94884",15700.71281,-7592989.010,  279242.321
"78","94885", 1178.87069,-7458574.933,  156369.629
"79","94886", 2335.32470,-7523536.035,  377168.896
"80","94887",10227.14678,-7693779.526,  220577.028
"81","94888", 8555.05824,-7774553.377,  269639.503
"82","99624", 3898.31018,-7864917.542,  554963.211
"83","99001",12204.95140,-7585443.849,  650862.450
"84","99524",18362.89665,-7748990.088,  615639.179
"85","99773",65597.21235,-7739041.477,  475008.508
"86","91001", 6182.41656,-7797389.795, -393228.496
"87","91263",10897.54671,-8095551.935, -222383.497
"88","91405",12726.86791,-8099652.814, -138112.882
"89","91407",13668.21489,-7796627.101, -158894.438
"90","91430", 1432.79498,-7915358.782,  -13916.839
"91","91460",16867.53254,-7924332.641,  -76486.123
"92","91530", 8494.18249,-8210614.760, -106001.075
"93","91536",13791.32699,-7920204.324, -212760.712
"94","91540", 1509.20430,-7844906.773, -404512.160
"95","91669",14731.08850,-8008201.851, -122579.536
"96","91798", 9195.87793,-7793089.178, -273027.609
"97","97001",16215.73726,-7838845.172,  113066.298
"98","97161", 6368.48642,-7940522.670,  117203.704
"99","97511",13993.25057,-7896612.806,   21682.528
"100","97666", 6510.24656,-7782095.979,  -80134.402
"101","97777", 5551.15355,-7870974.754,  187225.876
"102","97889", 4660.40565,-7749915.556,   92767.886
"103","95001",16768.51512,-8005999.621,  276641.309
"104","95015",13556.41522,-8130136.888,  179659.482
"105","95025",12442.22577,-7963416.300,  232278.769
"106","95200",12808.07706,-8017018.617,  151857.845
"107","50223", 1157.86525,-8246024.588,  426476.052
"108","50251",  568.21806,-8225175.588,  402757.526
"109","50270",  117.34108,-8218898.259,  412946.317
"110","50287",  570.99122,-8192697.703,  376743.250
"111","50313",  348.31179,-8209473.733,  389478.087
"112","50330", 2280.62999,-8251508.042,  351374.691
"113","50370", 6437.20869,-8285584.115,  339447.141
"114","50400",  815.42633,-8248361.253,  402656.869
"115","50450", 1242.93552,-8095275.284,  306499.540
"116","50573", 6913.34658,-8086880.366,  447242.514
"117","50577", 2535.77421,-8152674.172,  355639.871
"118","50590", 3428.13357,-8141663.139,  307150.581
"119","50683", 1169.10460,-8217199.493,  366427.220
"120","50689", 5933.65235,-8124695.374,  393868.366
"121","50711", 4819.21011,-8200522.058,  313120.229
"122","50350",10839.33393,-8248204.719,  240721.999
"123","50325",11949.02840,-8008105.940,  347216.884
"124","50568",17250.08317,-7973984.027,  446230.868
"125","41001", 1269.82717,-8379283.051,  333373.815
"126","41306",  503.70310,-8406513.727,  264101.429
"127","41319",  249.60734,-8426544.326,  220946.099
"128","41349",  194.23340,-8398811.890,  283028.742
"129","41359",  370.65657,-8488819.980,  223440.899
"130","41503",  155.81261,-8464856.870,  229500.365
"131","41530",  178.21746,-8476740.461,  187553.914
"132","41548",  193.66005,-8441574.262,  251603.137
"133","41551",  630.66594,-8473549.871,  203516.406
"134","41615",  251.23017,-8375182.615,  309837.791
"135","41660",  466.64491,-8485771.459,  233866.403
"136","41668", 1390.43219,-8506653.471,  214238.594
"137","41770",  429.66717,-8438906.267,  208315.213
"138","41791",  362.81184,-8446405.092,  237196.603
"139","41799",  530.39939,-8358465.072,  337524.110
"140","41807",  185.72709,-8451105.869,  217194.769
"141","41298",  606.52117,-8412559.887,  241893.590
"142","41244",   80.44174,-8454817.356,  223380.231
"143","41206", 1584.96992,-8313147.536,  384512.619
"144","41132",  462.79934,-8385634.626,  296068.099
"145","41078",  786.00202,-8344284.121,  349208.927
"146","41026",  180.97556,-8434519.972,  231509.614
"147","41020",  589.68899,-8381394.191,  278148.613
"148","41013",  273.73165,-8428702.470,  252733.869
"149","41006",  540.51687,-8459907.213,  190286.451
